"CpG_pos","Coefficient","CpG_pos_hg19"
"(Intercept)",72.38009547,"(Intercept)"
"chr12:21771411:21771412",-4.110955777,"chr12:21924345:21924346"
"chr13:67232616:67232617",-4.048976965,"chr13:67806748:67806749"
"chr2:114454662:114454663",3.821664253,"chr2:115212239:115212240"
"chr6:79079580:79079581",2.93978625,"chr6:79789297:79789298"
"chr14:56815968:56815969",2.829781035,"chr14:57282686:57282687"
"chr12:40107444:40107445",-2.744581366,"chr12:40501246:40501247"
"chr6:135440413:135440414",-2.368829868,"chr6:135761551:135761552"
"chr12:9895218:9895219",-2.238786323,"chr12:10047817:10047818"
"chr1:207823544:207823545",-2.146107104,"chr1:207996889:207996890"
"chr1:207823591:207823592",-1.953200953,"chr1:207996936:207996937"
"chr1:95800142:95800143",-1.903664825,"chr1:96265698:96265699"
"chr3:141294674:141294675",-1.886865285,"chr3:141013516:141013517"
"chr9:6750606:6750607",-1.872495316,"chr9:6750606:6750607"
"chr3:51707396:51707397",1.815295868,"chr3:51741412:51741413"
"chr7:137756413:137756414",-1.797398651,"chr7:137441159:137441160"
"chr2:208566582:208566583",-1.720162675,"chr2:209431307:209431308"
"chr5:35866840:35866841",1.615242817,"chr5:35866942:35866943"
"chr18:57429949:57429950",1.599818834,"chr18:55097181:55097182"
"chr3:79497655:79497656",1.564477589,"chr3:79546805:79546806"
"chr2:163733416:163733417",-1.543577604,"chr2:164589926:164589927"
"chr13:67237078:67237079",-1.503446307,"chr13:67811210:67811211"
"chr9:38623184:38623185",1.448966412,"chr9:38623181:38623182"
"chr2:163733371:163733372",-1.420779989,"chr2:164589881:164589882"
"chr12:125628632:125628633",-1.416249399,"chr12:126113178:126113179"
"chr1:240330210:240330211",-1.343355308,"chr1:240493510:240493511"
"chr12:125628108:125628109",-1.34259426,"chr12:126112654:126112655"
"chr17:11705433:11705434",-1.226420504,"chr17:11608750:11608751"
"chr8:90318506:90318507",-1.214450972,"chr8:91330734:91330735"
"chr6:99868282:99868283",1.185532651,"chr6:100316158:100316159"
"chr8:90317722:90317723",-1.142356846,"chr8:91329950:91329951"
"chr12:22019032:22019033",-1.107116031,"chr12:22171966:22171967"
"chr9:117495251:117495252",-1.080792022,"chr9:120257529:120257530"
"chr9:117495195:117495196",-1.07279601,"chr9:120257473:120257474"
"chr7:25391515:25391516",-1.065978473,"chr7:25431134:25431135"
"chr4:99118270:99118271",-1.056966831,"chr4:100039421:100039422"
"chr6:99868292:99868293",1.054312276,"chr6:100316168:100316169"
"chr3:154758369:154758370",-1.013546907,"chr3:154476158:154476159"
